日付;始値;高値;安値;終値;出来高
2014/01/06;16115;16150;15855;15905;626600
2014/01/07;15825;15940;15775;15785;479707
2014/01/08;15945;16135;15905;16110;416483
2014/01/09;15980;15995;15830;15910;503887
2014/01/10;15830;15935;15750;15910;473468
2014/01/14;15545;15590;15375;15420;632452
2014/01/15;15670;15800;15635;15775;470028
2014/01/16;15840;15945;15705;15715;458794
2014/01/17;15680;15785;15620;15750;364945
2014/01/20;15720;15725;15565;15660;363552
2014/01/21;15710;15900;15700;15785;433497
2014/01/22;15735;15875;15620;15825;612825
2014/01/23;15905;15970;15660;15700;635652
2014/01/24;15450;15490;15270;15440;712806
2014/01/27;14955;15085;14925;14950;654929
2014/01/28;15020;15090;14945;14985;424424
2014/01/29;15195;15380;15190;15375;463240
2014/01/30;15025;15035;14845;14990;611592
2014/01/31;15145;15160;14750;14855;581586
2014/02/03;14780;14850;14555;14555;545530
2014/02/04;14200;14300;13930;13930;866918
2014/02/05;14280;14285;13985;14175;714030
2014/02/06;14235;14305;14120;14155;513583
2014/02/07;14400;14490;14350;14490;415990
2014/02/10;14675;14735;14560;14735;421409
2014/02/12;14830;14875;14755;14765;463072
2014/02/13;14775;14780;14470;14500;476618
2014/02/14;14525;14680;14225;14325;780069
2014/02/17;14335;14425;14185;14405;458058
2014/02/18;14505;14900;14430;14840;703797
2014/02/19;14715;14800;14660;14780;322111
2014/02/20;14690;14725;14410;14420;505280
2014/02/21;14605;14890;14605;14830;426247
2014/02/24;14780;14980;14640;14850;553524
2014/02/25;14975;15090;14945;14995;394941
2014/02/26;14885;15085;14885;15000;354551
2014/02/27;14940;15020;14840;14960;360301
2014/02/28;14910;14950;14730;14860;442453
2014/03/03;14650;14680;14435;14630;492602
2014/03/04;14535;14885;14530;14835;400720
2014/03/05;14925;14995;14880;14885;359046
2014/03/06;14935;15215;14865;15125;497009
2014/03/07;15265;15315;15145;15295;400146
2014/03/10;15190;15275;15085;15170;355178
2014/03/11;15190;15275;15120;15210;359229
2014/03/12;14990;15015;14810;14825;431666
2014/03/13;14845;14935;14750;14750;194049
2014/03/14;14370;14390;14190;14220;460218
2014/03/17;14185;14285;14115;14270;364115
2014/03/18;14455;14460;14310;14350;281490
2014/03/19;14430;14590;14210;14410;467428
2014/03/20;14460;14465;14110;14140;459542
2014/03/24;14200;14425;14185;14395;310206
2014/03/25;14280;14445;14215;14275;274689
2014/03/26;14420;14480;14305;14380;300229
2014/03/27;14275;14675;14235;14640;507421
2014/03/28;14570;14725;14530;14695;340876
2014/03/31;14840;14850;14720;14785;299383
2014/04/01;14865;14875;14740;14755;310714
2014/04/02;14910;15085;14895;14975;429570
2014/04/03;15030;15185;14990;15080;378105
2014/04/04;15000;15110;15000;15080;189924
2014/04/07;14870;14910;14775;14815;291237
2014/04/08;14730;14760;14580;14590;402799
2014/04/09;14450;14520;14285;14380;466923
2014/04/10;14510;14520;14240;14300;413602
2014/04/11;13970;14060;13840;14060;466173
2014/04/14;13880;14015;13875;13950;261216
2014/04/15;14080;14110;13975;14040;269715
2014/04/16;14175;14430;14160;14415;389820
2014/04/17;14400;14505;14355;14380;342245
2014/04/18;14500;14550;14450;14525;189222
2014/04/21;14545;14660;14500;14525;257327
2014/04/22;14590;14615;14350;14350;265855
2014/04/23;14500;14565;14465;14545;241683
2014/04/24;14560;14575;14370;14425;311861
2014/04/25;14385;14570;14330;14465;384769
2014/04/28;14280;14335;14225;14305;215984
2014/04/30;14425;14435;14210;14210;331574
2014/05/01;14350;14500;14345;14485;335186
2014/05/02;14440;14510;14410;14480;220690
2014/05/07;14285;14285;14025;14075;413006
2014/05/08;14150;14260;14110;14145;347860
2014/05/09;14100;14275;14090;14210;348641
2014/05/12;14175;14245;14130;14175;270863
2014/05/13;14380;14475;14380;14425;298263
2014/05/14;14390;14430;14355;14410;220658
2014/05/15;14270;14315;14190;14305;311575
2014/05/16;14080;14135;14010;14135;330636
2014/05/19;14140;14160;13985;14040;326192
2014/05/20;14090;14150;14040;14060;244921
2014/05/21;13970;14090;13965;14045;312117
2014/05/22;14190;14380;14150;14305;432263
